year,r_var,variable,description,documentation,var_type,skip
2000,dividends,,,,Num,8
2000,interest,,,,Num,8
2001,na,,,,Char,8
2001,st_fips,,,,Num,8
2001,cty_fips,,,,Num,8
2001,cty_name,,,,Char,8
2001,return,,,,Num,8
2001,exmpt,,,,Num,8
2001,agi,,,,Num,8
2001,wages,,,,Num,8
2001,dividends,,,,Num,8
2001,interest,,,,Num,8
2002,na,,,,Char,8
2002,st_fips,,,,Num,8
2002,cty_fips,,,,Num,8
2002,cty_name,,,,Char,8
2002,return,,,,Num,8
2002,exmpt,,,,Num,8
2002,agi,,,,Num,8
2002,wages,,,,Num,8
2002,dividends,,,,Num,8
2002,interest,,,,Num,8
2003,na,,,,Char,8
2003,st_fips,,,,Num,8
2003,cty_fips,,,,Num,8
2003,cty_name,,,,Char,8
2003,return,,,,Num,8
2003,exmpt,,,,Num,8
2003,agi,,,,Num,8
2003,wages,,,,Num,8
2003,dividends,,,,Num,8
2003,interest,,,,Num,8
2004,na,,,,Char,8
2004,st_fips,,,,Num,8
2004,cty_fips,,,,Num,8
2004,cty_name,,,,Char,8
2004,return,,,,Num,8
2004,exmpt,,,,Num,8
2004,agi,,,,Num,8
2004,wages,,,,Num,8
2004,dividends,,,,Num,8
2004,interest,,,,Num,8
2005,na,,,,Char,8
2005,st_fips,,,,Num,8
2005,cty_fips,,,,Num,8
2005,cty_name,,,,Char,8
2005,return,,,,Num,8
2005,exmpt,,,,Num,8
2005,agi,,,,Num,8
2005,wages,,,,Num,8
2005,dividends,,,,Num,8
2005,interest,,,,Num,8
2006,na,,,,Char,8
2006,st_fips,,,,Num,8
2006,cty_fips,,,,Num,8
2006,cty_name,,,,Char,8
2006,return,,,,Num,8
2006,exmpt,,,,Num,8
2006,agi,,,,Num,8
2006,wages,,,,Num,8
2006,dividends,,,,Num,8
2006,interest,,,,Num,8
2007,na,,,,Char,8
2007,st_fips,,,,Num,8
2007,cty_fips,,,,Num,8
2007,cty_name,,,,Char,8
2007,return,,,,Num,8
2007,exmpt,,,,Num,8
2007,agi,,,,Num,8
2007,wages,,,,Num,8
2007,dividends,,,,Num,8
2007,interest,,,,Num,8
2008,st_fips,,,,Num,7
2008,cty_fips,,,,Num,7
2008,cty_name,,,,Char,7
2008,return,,,,Num,7
2008,exmpt,,,,Num,7
2008,agi,,,,Num,7
2008,wages,,,,Num,7
2008,dividends,,,,Num,7
2008,interest,,,,Num,7
2009,st_fips,,,,Num,7
2009,cty_fips,,,,Num,7
2009,cty_name,,,,Char,7
2009,return,,,,Num,7
2009,exmpt,,,,Num,7
2009,agi,,,,Num,7
2009,wages,,,,Num,7
2009,dividends,,,,Num,7
2009,interest,,,,Num,7
2010,st_fips,STATEFIPS,,,Num,NA
2010,state,STATE,,,Char,NA
2010,cty_fips,COUNTYFIPS,,,Num,NA
2010,cty_name,COUNTYNAME,,,Char,NA
2010,agi_stub,AGI_STUB,Size of adjusted gross income,"1 = $1 under $25,000
2 = $25,000 under $50,000
3 = $50,000 under $75,000
4 = $75,000 under $100,000
5 = $100,000 under $200,000
6 = $200,000 or more",Num,NA
2010,return,N1,Number of returns,,Num,NA
2010,return_joint,MARS2,Number of joint returns,Filing status is married filing jointly,Num,NA
2010,return_paid,PREP,Number of returns with paid preparer's signature,,Num,NA
2010,exmpt,N2,Number of exemptions,1040:6d,Num,NA
2010,dependents,NUMDEP,Number of dependents,1040:6c,Num,NA
2010,agi,A00100,Adjust gross income (AGI) [2],1040:37 / 1040A:21 / 1040EZ:4,Num,NA
2010,wages_n,N00200,Number of returns with salaries and wages,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2010,wages,A00200,Salaries and wages amount,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2010,interest_n,N00300,Number of returns with taxable interest,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2010,interest,A00300,Taxable interest amount,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2010,dividends_n,N00600,Number of returns with ordinary dividends,1040:9a / 1040A:9a,Num,NA
2010,dividends,A00600,Ordinary dividends amount,1040:9a / 1040A:9a,Num,NA
2010,dividends_qual_n,N00650,Number of returns with qualified dividends,1040:9b / 1040A:9b,Num,NA
2010,dividends_qual,A00650,Qualified dividends amount [3],1040:9b / 1040A:9b,Num,NA
2010,bus_net_income_n,N00900,Number of returns with business orprofessional net income (less loss),1040:12:00,Num,NA
2010,bus_net_income,A00900,Business or professional net income (less loss) amount,1040:12:00,Num,NA
2010,farm_n,SCHF,Number of farm returns,1040:18:00,Num,NA
2010,capital_gain_n,N01000,Number of returns with net capital gain (less loss),1040:131040A:10,Num,NA
2010,capital_gain,A01000,Net capital gain (less loss) amount,1040:131040A:10,Num,NA
2010,ira_n,N01400,Number of returns with taxable individual retirementarrangements distributions,1040:15b / 1040:11b,Num,NA
2010,ira,A01400,Taxable individual retirement arrangements distributions amount,1040:15b / 1040:11b,Num,NA
2010,pensions_n,N01700,Number of returns with taxable pensions and annuities,1040:16b / 1040A:12b,Num,NA
2010,pensions,A01700,Taxable pensions and annuities amount,1040:16b / 1040A:12b,Num,NA
2010,unemployment_n,N02300,Number of returns with unemployment compensation,1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2010,unemployment,A02300,Unemployment compensation amount [4],1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2010,social_security_n,N02500,Number of returns with taxable Social Security benefits,1040:20b / 1040A:14b,Num,NA
2010,social_security,A02500,Taxable Social Security benefits amount,1040:20b / 1040A:14b,Num,NA
2010,self_employ_n,N03300,Number of returns with self-employment retirement plans,1040:28:00,Num,NA
2010,self_employ,A03300,Self-employment retirement plans amount,1040:28:00,Num,NA
2010,itemized_n,N04470,Number of returns with itemized deductions,1040:40:00,Num,NA
2010,itemized,A04470,Total itemized deductions amount,1040:40:00,Num,NA
2010,state_inc_tax_n,N18425,Number of returns with State and local income taxes,Schedule A:5a,Num,NA
2010,state_inc_tax,A18425,State and local income taxes amount,Schedule A:5a,Num,NA
2010,state_general_tax_n,N18450,Number of returns with State and local general sales tax,Schedule A:5b,Num,NA
2010,state_general_tax,A18450,State and local general sales tax amount,Schedule A:5b,Num,NA
2010,real_estate_tax_n,N18500,Number of returns with real estate taxes,Schedule A:6,Num,NA
2010,real_estate_tax,A18500,Real estate taxes amount,Schedule A:6,Num,NA
2010,taxes_n,N18300,Number of returns with taxes paid,Schedule A:9,Num,NA
2010,taxes,A18300,Taxes paid amount,Schedule A:9,Num,NA
2010,mortgage_interest_n,N19300,Number of returns with mortgage interest paid,Schedule A:10,Num,NA
2010,mortgage_interest,A19300,Mortgage interest paid amount,Schedule A:10,Num,NA
2010,contributions_n,N19700,Number of returns with contributions,Schedule A:19,Num,NA
2010,contributions,A19700,Contributions amount,Schedule A:19,Num,NA
2010,taxable_inc_n,N04800,Number of returns with taxable income,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2010,taxable_inc,A04800,Taxable income amount,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2010,alternative_minimum_n,N09600,Number of returns with alternative minimum tax,1040:45:00,Num,NA
2010,alternative_minimum,A09600,Alternative minimum tax amount,1040:45:00,Num,NA
2010,tax_credits_n,N07100,Number of returns with total tax credits,1040:54 / 1040A:34,Num,NA
2010,tax_credits,A07100,Total tax credits amount,1040:54 / 1040A:34,Num,NA
2010,child_dependent_credit_n,N07180,Number of returns with child and dependent care credit,1040:48 / 1040A:29,Num,NA
2010,child_dependent_credit,A07180,Child and dependent care credit amount,1040:48 / 1040A:29,Num,NA
2010,child_tax_n,N07220,Number of returns with child tax credit,1040:51 / 1040A:33,Num,NA
2010,child_tax,A07220,Child tax credit amount,1040:51 / 1040A:33,Num,NA
2010,res_energy_credit_n,N07260,Number of returns with residential energy tax credit,1040:52:00,Num,NA
2010,res_energy_credit,A07260,Residential energy tax credit amount,1040:52:00,Num,NA
2010,additional_child_credit_n,N11070,Number of returns with additional child tax credit,1040:65 / 1040A:39,Num,NA
2010,additional_child_credit,A11070,Additional child tax credit amount,1040:65 / 1040A:39,Num,NA
2010,earned_income_n,N59660,Number of returns with earned income credit,1040:64a / 1040A:41a / 1040EZ:9a,Num,NA
2010,earned_income,A59660,Earned income credit amount [5],1040:64a / 1040A:41a / 1040EZ:9a,Num,NA
2010,excess_earned_income_n,N59720,Number of returns with excess earned income credit,1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2010,excess_earned_income,A59720,Excess earned income credit (refundable) amount [6],1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2010,income_tax_n,N06500,Number of returns with income tax,1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2010,income_tax,A06500,Income tax amount [7],1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2010,tax_liability_n,N10300,Number of returns with tax liability,1040:60 / 1040A:37 / 1040EZ: 11,Num,NA
2010,tax_liability,A10300,Total tax liability amount [8],1040:60 / 1040A:37 / 1040EZ: 11,Num,NA
2010,tax_due_n,N11901,Number of returns with tax due at time of filing,1040:76 / 1040A:48 / 1040EZ:13,Num,NA
2010,tax_due,A11901,Tax due at time of filing amount [9],1040:76 / 1040A:48 / 1040EZ:13,Num,NA
2010,overpayments_n,N11902,Number of returns with overpayments refunded,1040:73 / 1040A:45 / 1040EZ:12a,Num,NA
2010,overpayments,A11902,Overpayments refunded amount [10],1040:73 / 1040A:45 / 1040EZ:12a,Num,NA
2011,st_fips,STATEFIPS,,,Num,NA
2011,state,STATE,,,Char,NA
2011,cty_fips,COUNTYFIPS,,,Num,NA
2011,cty_name,COUNTYNAME,,,Char,NA
2011,agi_stub,AGI_STUB,Size of adjusted gross income,"1 = $1 under $25,000
2 = $25,000 under $50,000
3 = $50,000 under $75,000
4 = $75,000 under $100,000
5 = $100,000 under $200,000
6 = $200,000 or more",Num,NA
2011,return,N1,Number of returns [3],,Num,NA
2011,return_joint,MARS2,Number of joint returns,Filing status is married filing jointly,Num,NA
2011,return_paid,PREP,Number of returns with paid preparer's signature,,Num,NA
2011,exmpt,N2,Number of exemptions,1040:6d,Num,NA
2011,dependents,NUMDEP,Number of dependents,1040:6c,Num,NA
2011,agi,A00100,Adjust gross income (AGI),1040:37 / 1040A:21 / 1040EZ:4,Num,NA
2011,wages_n,N00200,Number of returns with salaries and wages,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2011,wages,A00200,Salaries and wages amount,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2011,interest_n,N00300,Number of returns with taxable interest,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2011,interest,A00300,Taxable interest amount,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2011,dividends_n,N00600,Number of returns with ordinary dividends,1040:9a / 1040A:9a,Num,NA
2011,dividends,A00600,Ordinary dividends amount,1040:9a / 1040A:9a,Num,NA
2011,dividends_qual_n,N00650,Number of returns with qualified dividends,1040:9b / 1040A:9b,Num,NA
2011,dividends_qual,A00650,Qualified dividends amount [4],1040:9b / 1040A:9b,Num,NA
2011,bus_net_income_n,N00900,Number of returns with business or professional net income (less loss),1040:12:00,Num,NA
2011,bus_net_income,A00900,Business or professional net income (less loss) amount,1040:12:00,Num,NA
2011,farm_n,SCHF,Number of farm returns,1040:18:00,Num,NA
2011,capital_gain_n,N01000,Number of returns with net capital gain (less loss),1040:131040A:10,Num,NA
2011,capital_gain,A01000,Net capital gain (less loss) amount,1040:131040A:10,Num,NA
2011,ira_n,N01400,Number of returns with taxable individual retirement arrangements distributions,1040:15b / 1040:11b,Num,NA
2011,ira,A01400,Taxable individual retirement arrangements distributions amount,1040:15b / 1040:11b,Num,NA
2011,pensions_n,N01700,Number of returns with taxable pensions and annuities,1040:16b / 1040A:12b,Num,NA
2011,pensions,A01700,Taxable pensions and annuities amount,1040:16b / 1040A:12b,Num,NA
2011,unemployment_n,N02300,Number of returns with unemployment compensation,1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2011,unemployment,A02300,Unemployment compensation amount [5],1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2011,social_security_n,N02500,Number of returns with taxable Social Security benefits,1040:20b / 1040A:14b,Num,NA
2011,social_security,A02500,Taxable Social Security benefits amount,1040:20b / 1040A:14b,Num,NA
2011,self_employ_n,N03300,Number of returns with self-employment retirement plans,1040:28:00,Num,NA
2011,self_employ,A03300,Self-employment retirement plans amount,1040:28:00,Num,NA
2011,itemized_n,N04470,Number of returns with itemized deductions,1040:40:00,Num,NA
2011,itemized,A04470,Total itemized deductions amount,1040:40:00,Num,NA
2011,state_inc_tax_n,N18425,Number of returns with State and local income taxes,Schedule A:5a,Num,NA
2011,state_inc_tax,A18425,State and local income taxes amount,Schedule A:5a,Num,NA
2011,state_general_tax_n,N18450,Number of returns with State and local general sales tax,Schedule A:5b,Num,NA
2011,state_general_tax,A18450,State and local general sales tax amount,Schedule A:5b,Num,NA
2011,real_estate_tax_n,N18500,Number of returns with real estate taxes,Schedule A:6,Num,NA
2011,real_estate_tax,A18500,Real estate taxes amount,Schedule A:6,Num,NA
2011,taxes_n,N18300,Number of returns with taxes paid,Schedule A:9,Num,NA
2011,taxes,A18300,Taxes paid amount,Schedule A:9,Num,NA
2011,mortgage_interest_n,N19300,Number of returns with mortgage interest paid,Schedule A:10,Num,NA
2011,mortgage_interest,A19300,Mortgage interest paid amount,Schedule A:10,Num,NA
2011,contributions_n,N19700,Number of returns with contributions,Schedule A:19,Num,NA
2011,contributions,A19700,Contributions amount,Schedule A:19,Num,NA
2011,taxable_inc_n,N04800,Number of returns with taxable income,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2011,taxable_inc,A04800,Taxable income amount,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2011,tax_credits_n,N07100,Number of returns with total tax credits,1040:54 / 1040A:34,Num,NA
2011,tax_credits,A07100,Total tax credits amount,1040:54 / 1040A:34,Num,NA
2011,res_energy_credit_n,N07260,Number of returns with residential energy tax credit,1040:52:00,Num,NA
2011,res_energy_credit,A07260,Residential energy tax credit amount,1040:52:00,Num,NA
2011,child_tax_n,N07220,Number of returns with child tax credit,1040:51 / 1040A:33,Num,NA
2011,child_tax,A07220,Child tax credit amount,1040:51 / 1040A:33,Num,NA
2011,child_dependent_credit_n,N07180,Number of returns with child and dependent care credit,1040:48 / 1040A:29,Num,NA
2011,child_dependent_credit,A07180,Child and dependent care credit amount,1040:48 / 1040A:29,Num,NA
2011,additional_child_credit_n,N11070,Number of returns with additional child tax credit,1040:65 / 1040A:39,Num,NA
2011,additional_child_credit,A11070,Additional child tax credit amount,1040:65 / 1040A:39,Num,NA
2011,earned_income_n,N59660,Number of returns with earned income credit,1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2011,earned_income,A59660,Earned income credit amount [6],1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2011,excess_earned_income_n,N59720,Number of returns with excess earned income credit,1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2011,excess_earned_income,A59720,Excess earned income credit (refundable) amount [7],1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2011,alternative_minimum_n,N09600,Number of returns with alternative minimum tax,1040:45:00,Num,NA
2011,alternative_minimum,A09600,Alternative minimum tax amount,1040:45:00,Num,NA
2011,income_tax_n,N06500,Number of returns with income tax,1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2011,income_tax,A06500,Income tax amount [8],1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2011,tax_liability_n,N10300,Number of returns with tax liability,1040:61 / 1040A:35 / 1040EZ: 10,Num,NA
2011,tax_liability,A10300,Total tax liability amount [9],1040:61 / 1040A:35 / 1040EZ: 10,Num,NA
2011,tax_due_n,N11901,Number of returns with tax due at time of filing,1040:76 / 1040A:45 / 1040EZ:12,Num,NA
2011,tax_due,A11901,Tax due at time of filing amount [10],1040:76 / 1040A:45 / 1040EZ:12,Num,NA
2011,overpayments_n,N11902,Number of returns with overpayments refunded,1040:73 / 1040A:42 / 1040EZ:11a,Num,NA
2011,overpayments,A11902,Overpayments refunded amount [11],1040:73 / 1040A:42 / 1040EZ:11a,Num,NA
2012,st_fips,STATEFIPS,,,Num,NA
2012,state,STATE,,,Char,NA
2012,cty_fips,COUNTYFIPS,,,Num,NA
2012,cty_name,COUNTYNAME,,,Char,NA
2012,agi_stub,AGI_STUB,Size of adjusted gross income,"1 = $1 under $25,000
2 = $25,000 under $50,000
3 = $50,000 under $75,000
4 = $75,000 under $100,000
5 = $100,000 under $200,000
6 = $200,000 or more",Num,NA
2012,return,N1,Number of returns,,Num,NA
2012,return_single,MARS1,Number of single returns,Filing status is single,Num,NA
2012,return_joint,MARS2,Number of joint returns,Filing status is married filing jointly,Num,NA
2012,return_head,MARS4,Number of head of household returns,Filing status is head of household,Num,NA
2012,return_paid,PREP,Number of returns with paid preparer's signature,,Num,NA
2012,exmpt,N2,Number of exemptions,1040:6d,Num,NA
2012,dependents,NUMDEP,Number of dependents,1040:6c,Num,NA
2012,agi,A00100,Adjust gross income (AGI) [2],1040:37 / 1040A:21 / 1040EZ:4,Num,NA
2012,wages_n,N00200,Number of returns with salaries and wages,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2012,wages,A00200,Salaries and wages amount,1040:7 / 1040A:7 / 1040EZ:1,Num,NA
2012,interest_n,N00300,Number of returns with taxable interest,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2012,interest,A00300,Taxable interest amount,1040:8a / 1040A:8a / 1040EZ:2,Num,NA
2012,dividends_n,N00600,Number of returns with ordinary dividends,1040:9a / 1040A:9a,Num,NA
2012,dividends,A00600,Ordinary dividends amount,1040:9a / 1040A:9a,Num,NA
2012,dividends_qual_n,N00650,Number of returns with qualified dividends,1040:9b / 1040A:9b,Num,NA
2012,dividends_qual,A00650,Qualified dividends amount [3],1040:9b / 1040A:9b,Num,NA
2012,bus_net_income_n,N00900,Number of returns with business orprofessional net income (less loss),1040:12:00,Num,NA
2012,bus_net_income,A00900,Business or professional net income (less loss) amount,1040:12:00,Num,NA
2012,farm_n,SCHF,Number of farm returns,1040:18:00,Num,NA
2012,capital_gain_n,N01000,Number of returns with net capital gain (less loss),1040:131040A:10,Num,NA
2012,capital_gain,A01000,Net capital gain (less loss) amount,1040:131040A:10,Num,NA
2012,ira_n,N01400,Number of returns with taxable individual retirementarrangements distributions,1040:15b / 1040:11b,Num,NA
2012,ira,A01400,Taxable individual retirement arrangements distributions amount,1040:15b / 1040:11b,Num,NA
2012,pensions_n,N01700,Number of returns with taxable pensions and annuities,1040:16b / 1040A:12b,Num,NA
2012,pensions,A01700,Taxable pensions and annuities amount,1040:16b / 1040A:12b,Num,NA
2012,unemployment_n,N02300,Number of returns with unemployment compensation,1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2012,unemployment,A02300,Unemployment compensation amount [4],1040:19 / 1040A:13 / 1040EZ:3,Num,NA
2012,social_security_n,N02500,Number of returns with taxable Social Security benefits,1040:20b / 1040A:14b,Num,NA
2012,social_security,A02500,Taxable Social Security benefits amount,1040:20b / 1040A:14b,Num,NA
2012,self_employ_n,N03300,Number of returns with self-employment retirement plans,1040:28:00,Num,NA
2012,self_employ,A03300,Self-employment retirement plans amount,1040:28:00,Num,NA
2012,itemized_n,N04470,Number of returns with itemized deductions,1040:40:00,Num,NA
2012,itemized_alt_n,N00101,Number of returns with itemized deductions,1040:40:00,Num,NA
2012,itemized_agi,A00101,Amount of AGI for itemized returns,1040:37:00,Num,NA
2012,itemized,A04470,Total itemized deductions amount,1040:40:00,Num,NA
2012,state_inc_tax_n,N18425,Number of returns with State and local income taxes,Schedule A:5a,Num,NA
2012,state_inc_tax,A18425,State and local income taxes amount,Schedule A:5a,Num,NA
2012,state_general_tax_n,N18450,Number of returns with State and local general sales tax,Schedule A:5b,Num,NA
2012,state_general_tax,A18450,State and local general sales tax amount,Schedule A:5b,Num,NA
2012,real_estate_tax_n,N18500,Number of returns with real estate taxes,Schedule A:6,Num,NA
2012,real_estate_tax,A18500,Real estate taxes amount,Schedule A:6,Num,NA
2012,taxes_n,N18300,Number of returns with taxes paid,Schedule A:9,Num,NA
2012,taxes,A18300,Taxes paid amount,Schedule A:9,Num,NA
2012,mortgage_interest_n,N19300,Number of returns with mortgage interest paid,Schedule A:10,Num,NA
2012,mortgage_interest,A19300,Mortgage interest paid amount,Schedule A:10,Num,NA
2012,contributions_n,N19700,Number of returns with contributions,Schedule A:19,Num,NA
2012,contributions,A19700,Contributions amount,Schedule A:19,Num,NA
2012,taxable_inc_n,N04800,Number of returns with taxable income,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2012,taxable_inc,A04800,Taxable income amount,1040:43 / 1040A:27 / 1040EZ:6,Num,NA
2012,alternative_minimum_n,N09600,Number of returns with alternative minimum tax,1040:45:00,Num,NA
2012,alternative_minimum,A09600,Alternative minimum tax amount,1040:45:00,Num,NA
2012,tax_credits_n,N07100,Number of returns with total tax credits,1040:54 / 1040A:34,Num,NA
2012,tax_credits,A07100,Total tax credits amount,1040:54 / 1040A:34,Num,NA
2012,child_dependent_credit_n,N07180,Number of returns with child and dependent care credit,1040:48 / 1040A:29,Num,NA
2012,child_dependent_credit,A07180,Child and dependent care credit amount,1040:48 / 1040A:29,Num,NA
2012,child_tax_n,N07220,Number of returns with child tax credit,1040:51 / 1040A:33,Num,NA
2012,child_tax,A07220,Child tax credit amount,1040:51 / 1040A:33,Num,NA
2012,res_energy_credit_n,N07260,Number of returns with residential energy tax credit,1040:52:00,Num,NA
2012,res_energy_credit,A07260,Residential energy tax credit amount,1040:52:00,Num,NA
2012,additional_child_credit_n,N11070,Number of returns with additional child tax credit,1040:65 / 1040A:39,Num,NA
2012,additional_child_credit,A11070,Additional child tax credit amount,1040:65 / 1040A:39,Num,NA
2012,earned_income_n,N59660,Number of returns with earned income credit,1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2012,earned_income,A59660,Earned income credit amount [5],1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2012,excess_earned_income_n,N59720,Number of returns with excess earned income credit,1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2012,excess_earned_income,A59720,Excess earned income credit (refundable) amount [6],1040:64a / 1040A:38a / 1040EZ:8b,Num,NA
2012,income_tax_n,N06500,Number of returns with income tax,1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2012,income_tax,A06500,Income tax amount [7],1040:55 / 1040A:35 / 1040EZ:10,Num,NA
2012,tax_liability_n,N10300,Number of returns with tax liability,1040:61 / 1040A:35 / 1040EZ: 10,Num,NA
2012,tax_liability,A10300,Total tax liability amount [8],1040:61 / 1040A:35 / 1040EZ: 10,Num,NA
2012,tax_due_n,N11901,Number of returns with tax due at time of filing,1040:76 / 1040A:45 / 1040EZ:12,Num,NA
2012,tax_due,A11901,Tax due at time of filing amount [9],1040:76 / 1040A:45 / 1040EZ:12,Num,NA
2012,overpayments_n,N11902,Number of returns with overpayments refunded,1040:73 / 1040A:42 / 1040EZ:11a,Num,NA
2012,overpayments,A11902,Overpayments refunded amount [10],1040:73 / 1040A:42 / 1040EZ:11a,Num,NA
2013,st_fips,STATEFIPS,,,Num,NA
2013,state,STATE,,,Char,NA
2013,cty_fips,COUNTYFIPS,,,Num,NA
2013,cty_name,COUNTYNAME,,,Char,NA
2013,agi_stub,AGI_STUB,Size of adjusted gross income,"1 = $1 under $25,000
2 = $25,000 under $50,000
3 = $50,000 under $75,000
4 = $75,000 under $100,000
5 = $100,000 under $200,000
6 = $200,000 or more",Num,NA
2013,return,N1,Number of returns,,Num,NA
2013,return_single,MARS1,Number of single returns,Filing status is single,Num,NA
2013,return_joint,MARS2,Number of joint returns,Filing status is married filing jointly,Num,NA
2013,return_head,MARS4,Number of head of household returns,Filing status is head of household,Num,NA
2013,return_paid,PREP,Number of returns with paid preparer's signature,,Num,NA
2013,exmpt,N2,Number of exemptions,1040:6d,Num,NA
2013,dependents,NUMDEP,Number of dependents,1040:6c,Num,NA
2013,agi,A00100,Adjust gross income (AGI) [2],1040:37 / 1040A:21 / 1040EZ:4,Num,NA
2013,total_income_n,N02650,Number of returns with total income,1040:22 / 1040A:15 / 1040EZ:4,Num,NA
2013,total_income,A02650,Total income amount,1040:22 / 1040A:15 / 1040EZ:4,Num,NA
